'yDnRf8m_YI4AXHVGH6-fuQ' 'Sur La Table' '13' '79' '4.0' 'Shopping Food Home & Garden Specialty Food Kitchen & Bath Personal Shopping' '7122 E Greenway Pkwy<br/>Ste 100<br/>Scottsdale, AZ 85254'
'hBgIhxFFRsdjtQk3QhsoZQ' 'Foxfire Apartments' '3' '0' '2.5' 'Home Services Real Estate Apartments' '1701 E 8th Street Ofc<br/>Tempe, AZ 85281'
'JMjjXpNR4EAooX6jtwNEaw' 'Double Headers' '3' '24' '3.0' 'Burgers Hot Dogs Restaurants' 'Chase Field<br/>401 E Jefferson St<br/>Phoenix, AZ 85004'
'F8sD8-VRr5RLCuxOY7SVaA' 'Cost Plus World Market' '6' '26' '4.5' 'Food Beer, Wine & Spirits Shopping Home & Garden Furniture Stores' '885 S Cotton Ln<br/>Goodyear, AZ 85338'
'23sB_DG-bQO3luNlZ-vi4g' 'Flora Unique Florist' '14' '7' '5.0' 'Flowers & Gifts Shopping Event Planning & Services Florists' '4032 N Miller Rd<br/>Ste 106<br/>Scottsdale, AZ 85251'
'pKp50rYh0iWZYKiWmWmLow' 'Travel Thru Time' '3' '0' '3.5' 'Shopping Antiques' '1343 W Thomas Rd<br/>Phoenix, AZ 85013'
'ykBWmSL1yDrAob2a20b2DQ' 'Jewelry Nail & Spa' '5' '9' '3.0' 'Beauty & Spas Nail Salons' '13448 N 7th Street<br/>Phoenix, AZ 85022'
'ke3RFq3mHEAoJE_kkRNhiQ' 'Lucille's Smokehouse Bar-B-Que' '177' '418' '3.0' 'Southern Barbeque Restaurants' 'Tempe Marketplace<br/>2030 E Rio Salado Pkwy<br/>Tempe, AZ 85281'
'SNpVV5viJ2aPylP6bkAx8Q' 'International House of Pancakes' '16' '91' '3.0' 'American (Traditional) Restaurants' '225 E Apache Blvd<br/>Tempe, AZ 85281'
'3m7khDnqH9QOg8gu3Ymumw' 'Oscar Taylor's' '6' '0' '3.0' 'Burgers American (New) Restaurants' '2375 E Camelback Road<br/>Phoenix, AZ 85016'
'LzSF8rvlsxqF-0qcHU7ikA' 'West Elm' '9' '67' '3.0' 'Shopping Home Decor Home & Garden Furniture Stores' 'Scottsdale Quarter<br/>15279 N Scottsdale Rd<br/>Scottsdale, AZ 85254'
'7Y1lfzFkwBRoMZKIMMeZMw' 'El Pollo Loco' '6' '15' '3.5' 'Mexican Restaurants' '10000 West Happy Valley Rd<br/>Peoria, AZ 85383'
'bNmsfLXaKKcDigEMidEcGg' 'Saint 22' '4' '4' '4.5' 'Fashion Flowers & Gifts Shopping Knitting Supplies Accessories' '1507 W Thomas Rd<br/>Phoenix, AZ 85007'
'J-c25QK8xBqv1P-huUkoTQ' 'Laser For Less' '9' '10' '5.0' 'Beauty & Spas Hair Removal Laser Hair Removal' '2855 W Ray Rd<br/>Ste 7<br/>Chandler, AZ 85224'
