|CR2y7yEm4X035ZMzrTtN9Q| |Jim| |6| |0| |7| |0| |5.0|
|_9GXoHhdxc30ujPaQwh6Ew| |Kelle| |2| |0| |1| |0| |1.0|
|8mM-nqxjg6pT04kwcjMbsw| |Stephanie| |2| |0| |1| |0| |5.0|
|Ch6CdTR2IVaVANr-RglMOg| |T| |2| |0| |2| |0| |5.0|
|NZrLmHRyiHmyT1JrfzkCOA| |Beth| |1| |0| |0| |0| |1.0|
|mWx5Sxt_dx-sYBZg6RgJHQ| |Amy| |19| |30| |45| |36| |3.79|
|hryUDaRk7FLuDAYui2oldw| |Beach| |207| |28| |130| |31| |3.83|
|2t6fZNLtiqsihVmeO7zggg| |christine| |2| |1| |0| |1| |3.0|
|mn6F-eP5WU37b-iLTop2mQ| |Denis| |4| |0| |3| |2| |4.5|
|myXq7PFXkD_yfXT580SXMw| |Shawn| |10| |5| |24| |9| |3.9|
|EMpFiVyiaMS58XsLZdS6vA| |Carey| |6| |3| |16| |6| |3.4|
|74Y-B-8MJhshV7aYSQ93lQ| |Johnatton| |5| |0| |5| |1| |3.4|
|34ir_XnUsrqserEuSZdGQA| |David| |83| |50| |109| |49| |3.39|
|1Aq2NzZGREMRdAkw55V7dg| |Marcus| |8| |1| |3| |1| |2.88|
|B7XCvzvcriFc8xfIA-Wg4A| |Renee| |1| |0| |0| |0| |5.0|
|1aoDw1jVm5UQrVacWg0vnw| |s| |8| |6| |4| |1| |2.12|
|iH6y1T5AZZxaKpSNmvjGWw| |joe| |4| |3| |7| |3| |4.75|
|2tyadgcxcaEu5LWgLdwLAQ| |Na Humma| |22| |2| |24| |0| |4.23|
|mc2glxrNAZuPnCudIaoK4Q| |Kay| |11| |0| |10| |4| |3.64|
|LKFo-Z93fhHHF-CkXoXvLw| |Cara| |4| |1| |11| |3| |3.75|
|09ZCt5inrt35zuJVtxBB5A| |Shelly| |2| |0| |5| |1| |2.5|
|aSwY5VAO1S0uZASZlZgB3A| |Ashley| |56| |9| |81| |31| |3.79|
|oh3BckWd5WXSANfGlnjErQ| |Megan| |7| |0| |3| |1| |4.5|
|y5YxcvgbQX_uVW0UtHWKxA| |Ann-Marie| |9| |0| |7| |0| |4.0|
|Vu29H1sy1poRld4LIL2Jqw| |Sandy| |3| |0| |1| |1| |3.67|
|iK7I2HQ8kiyms_XuENr55w| |Juli| |2| |0| |1| |1| |5.0|
|QlSVps_q61IThBo489_Zyw| |Mike| |1| |0| |0| |0| |5.0|
|mzenirXt-7sZR2RhkhvLDQ| |Jordan| |3| |5| |15| |0| |3.0|
|qMCT8OblN3finTvXcba-oA| |Elizabeth| |16| |13| |21| |5| |3.62|
|jy94hgtLcuD0BbZ7o8KCYQ| |Dan| |4| |1| |7| |3| |4.5|
|8lrTKMjIJ9kt7rfVtjq3qg| |Beth| |3| |0| |2| |2| |5.0|
|IcSsf2QCA7T-KpdraDxTew| |Scott| |6| |0| |3| |2| |3.8|
|d09KNIq4YPYq1u5nVyqIUg| |Michael| |8| |0| |2| |0| |3.86|
|vxxNafFH_OMD5B1l231toA| |Kelly| |1| |0| |0| |0| |5.0|
|bwPaqC08ddUoq-zminI3bw| |Leslie| |6| |0| |5| |1| |3.17|
|LzT8mSfliJHhs68RTwQW5w| |Steve| |3| |4| |3| |0| |4.0|
|vAAeeV-kqabpuVr-DmtdFA| |Kathey| |4| |1| |4| |0| |1.33|
|R75rQfzSeXzO9LVh0MFjJg| |Clay| |8| |2| |8| |2| |3.75|
|D_nff52rbs-OCZbVXeCqzg| |Amanda| |1| |0| |4| |1| |5.0|
|6lyD0ZdmmYZsOMFFwOWsog| |Amy| |8| |0| |3| |1| |2.62|
|hqjDAPapGKJ3U4wUN1dGMA| |LaToya| |3| |1| |5| |3| |4.33|
|iR8iTaCOjQCM-JG4qf23NQ| |Kate| |155| |113| |386| |147| |3.79|
|1Md7FNu_GujIwxbb9TqSqQ| |DAVID| |18| |1| |3| |1| |3.89|
