01cEFI5Pq_RyEwM3GSTopQ	3
01cQQpeEwWpzTgv6YUQhAQ	5
01euuGhBwvcDhl9KcPTang	6
022T8YSRmb3b1BfwzO3F7Q	4
03m0CGFwEInR8ZBGrqmO7w	1
04HakCR6gEeRYNAoKxkppQ	6
04Jrd2zSzwHwmBqdKQDmIw	4
04ooBGyXogN57dhLgJaQ1Q	2
04SKYBXRAqeYIuuVDzwKNg	1
05aRozN6msYyyJIh8UEahQ	6
05znNZZrJXlp64r-R3S7Ug	2
06A3s7Ji-kJQbVxC6QbdNg	4
06kfoeRs9Acj82Yl3i9p_w	2
06Rbm5JrkxQHz7yNTaPwaQ	2
07a5t3hYhtPHlBviiETUpA	2
07cTodzpVqswCRGCHG7aHg	6
07OyvsOpqTWuyTtvE4_gcA	2
07UqHgBkJ4Kach2sVT2FdQ	6
08eBj_o6oTncJR0ylM8qSg	2
08In-bFs8JOmSTDlQ0BfFw	4
08NQu7YaKY3m500DS7e5Tw	1
08OcGan0xiT6I_oJ2loLMA	4
08u8R53F7kT6avQbIrLhvQ	4
08Z_Zzp8PyEmWWpYurIO-Q	1
09dr3kXV8Ff42Ur3mCh3LA	1
09Kv1q51BlUyLznzNnL5Xw	4
09nlgfIqh29b_zVXPdmySg	1
09QAAACarx9CzLsbRjOuUg	5
09YNMPANM20sCJkVvMC1vg	2
0a8hLC1V7jgOjRigoBohAg	1
0-A_cxbEmlkkq0362cvi3A	4
0AkoILvIy27Ss3UYxUGiHg	5
0Apb1P7RzbQEkeJDuywlPQ	1
0AZiq_OMKs3I9lTmwd5PSg	4
0Bilf-3-J8hIekQVWyRGWg	4
0BpMvu5B9fY-KEbOuxLtFQ	3
0bQEsXnD6y38Fissudcq3g	2
0bQiWdKxj2EmsGYRVC9qyA	4
0BScRHEa2lVBCY4spkhmvQ	6
-0bUDim5OGuv8R0Qqq6J4A	1
0BYuj1cOFkqdcnd653bcbw	2
0b-zTb8lUrUAOTyGLuZ2KA	4
0CFBeDV58e3uH4vsKggEmQ	4
0CG3ns3gwWV5nOnfzSfUIQ	4
0COaKgRuDzBisc2AxcLzMA	4
0db71MbrvcJnyk71COCJBg	3
-0D_CYhlD2ILkmLR0pBmnA	4
0De3TQ_uSOXwgduKL0va3w	4
0deS4g2xR4SjvjHNeHUc-A	1
0dIChGWBs9ueUXl0hhkw2w	3
0dORc6ckZw5HezR3BuSsqw	3
_0DvMQAs9KvA58Pf3Z4ltg	2
0DvsBDG0CEwIK8uQxUGiOQ	2
-_0Dx-cEvnQ0w2mauUpyXA	2
0eaY084BNQPQGQ9YghbQAw	2
0EBR4wDqtkbMC-wghpctEg	1
0EE3BohGb4lxWRnHLiqNnw	2
0eQbLuTmlkIzOF85LsGfsA	5
_0Eql3UB3K5-6q4IHNBbWA	2
0erbONkOO256HNzuIllFig	2
0eSkAhHp8w94G4SqwfsU8w	2
0f1oltdXd_3elbeLPK49Og	6
0f4IQo7Odn7nvvO4TCAGAw	1
0F8fCVDXfGU5OOKWWQbr0w	5
0fcAt0wsVwvGSj8SDt7chA	1
0flaoi5DDGt-FLbmhVprmA	1
0flx66ysNDgWXO9iVdhFcg	5
0FNFSzCFP_rGUoJx8W7tJg	5
0g0Z7doVpASXNiQDn9b6EA	5
0GHzsPl-NjCdGjr678_Kvg	4
0g_KFvnPIkA8ywTXPPeRCg	4
0gQrhOYWdO0XVZEKtOrvaA	4
0GRYyMRzwA9WYc8UTB2nRA	1
0Gu2cpJ5x9ZZfDDHohBY_A	4
